100 5000
-79 36 96
-99 -99 41
49 3 1
91 -72 96
-67 65 91
23 -68 -67
31 -100 41
-87 98 -43
-58 -80 -81
-26 -93 -38
48 -30 54
43 57 -23
80 -47 -55
43 -4 -72
47 46 -64
96 69 100
11 9 69
84 -37 61
-18 4 19
-46 54 -29
81 -5 -24
96 22 -90
4 54 -14
49 -43 76
13 46 95
-73 10 80
81 -10 -86
22 -14 90
44 -56 -41
-96 91 -65
89 -59 -5
95 18 3
-84 -51 33
81 75 76
43 -47 -36
-28 -44 -20
70 -82 -61
-22 57 78
40 89 43
-88 33 -62
-7 -10 -84
-14 53 95
56 -14 -64
54 67 75
18 -24 19
90 21 -54
-23 46 -59
-82 -59 -8
42 78 17
51 -73 -64
-28 40 78
27 -100 -82
10 -68 40
-66 -92 21
53 3 -91
17 -96 52
-23 15 28
8 -69 -52
82 69 -89
97 -86 22
21 57 -38
-6 -65 -45
21 -25 8
-65 -88 -10
-18 51 75
64 -24 -55
93 63 -45
-1 -41 93
-3 -78 -78
-11 -21 60
-21 46 62
4 -6 -75
40 59 6
-83 -97 62
68 -27 -22
93 53 -13
-22 -42 -70
71 78 -39
-90 13 -23
71 69 64
-63 -88 72
16 2 9
92 -54 -87
-76 -61 76
18 14 -28
-83 100 8
47 59 -84
-69 37 -35
3 -54 -74
-13 48 92
-23 31 -29
50 88 -52
-10 34 -57
46 16 -92
28 -69 -31
14 83 -73
-22 -72 -8
-14 52 -3
1 -84 86
52 -78 54
-8 -1 26
-65 -24 -55
72 40 19
-16 45 -28
-74 -93 76
-56 62 92
-100 -47 -62
57 -28 -86
-97 69 12
83 34 -24
-68 99 88
94 -16 9
-49 60 76
-96 -85 -28
15 -33 -17
80 12 23
29 44 19
49 4 80
48 -4 -25
34 16 24
84 -1 -55
75 57 93
-35 33 -19
-23 69 -12
88 40 -52
43 15 65
-58 50 22
11 -74 96
22 15 3
-30 81 82
-8 37 -47
69 5 -96
97 28 38
-42 -53 76
17 39 -38
92 -72 -67
82 65 -73
-31 47 87
14 91 42
-83 -3 33
-7 -73 -44
-8 88 93
44 99 31
51 6 54
-62 -14 26
100 -23 -11
-6 76 -99
79 53 50
-31 93 72
-24 -65 71
-12 60 46
-88 -58 55
-17 35 89
37 97 -34
-12 -58 -19
74 -11 26
-42 -4 36
46 72 -67
-54 -76 27
94 -26 92
-58 48 -92
51 36 18
91 -4 34
54 -44 -16
42 -70 -60
-63 -1 -97
61 59 -2
-5 -37 5
9 70 26
8 2 -64
56 -79 -63
16 82 -10
-66 -4 83
-31 -85 -57
86 -50 7
71 99 -91
-89 68 29
-6 -39 -51
-49 -31 -56
51 49 88
72 58 -33
38 -9 -39
-6 -77 -81
-49 -52 -31
-58 -29 52
45 75 45
37 -50 -96
26 -15 76
27 86 -58
-48 87 90
-23 -81 44
25 -39 -84
84 54 -84
53 -66 -5
99 -50 22
23 -90 -63
57 -69 -1
32 51 -16
40 85 45
-77 94 41
27 58 -35
80 58 -91
89 48 84
-7 60 1
-23 26 84
-63 69 -30
18 57 -33
-85 -66 -20
3 99 -95
-12 91 -19
-28 93 19
-89 -5 -95
-53 74 68
33 -43 5
39 91 18
-73 85 -28
97 -84 -62
-82 69 40
-24 88 5
-10 -50 1
15 -31 -80
-62 -58 -79
-49 -32 -37
-52 -86 47
2 69 -37
-24 24 -28
-65 -61 61
57 -91 -4
-56 18 -63
-47 -18 10
-99 100 -91
-96 -17 50
-79 -38 82
-14 24 -59
-36 -62 -20
-38 64 56
48 -73 38
91 43 -16
84 84 18
86 96 25
76 -59 92
91 -47 -93
35 71 -37
62 -27 -98
-54 16 -61
73 83 -7
90 -25 -45
-60 -20 -67
-55 10 21
35 34 -40
39 63 43
-58 40 31
68 13 58
77 -23 -43
-59 88 35
-85 63 60
61 -54 -69
11 6 32
82 64 -52
34 31 20
11 90 -65
60 -4 22
90 18 8
82 -31 81
-91 -88 -71
-84 17 97
-7 35 -53
-96 -47 67
22 -96 -59
-16 45 -87
36 -88 -45
8 -45 -65
17 84 76
30 -26 64
-57 -63 -88
-41 -58 -98
14 -71 -39
-44 32 -38
12 -65 -60
-62 3 -3
-56 -73 -55
-91 74 91
6 67 13
-69 -34 21
-30 11 -63
-51 71 34
33 -33 19
-44 33 -11
68 -4 -25
59 -57 61
71 93 -9
94 34 -61
79 77 66
62 32 -50
-4 12 20
72 3 -81
-99 -86 70
-87 -58 32
-80 -14 -11
-97 17 51
27 73 5
20 -93 1
-41 -65 -12
-42 1 46
97 -49 -18
97 54 -61
84 -19 41
88 75 -50
-84 -28 -39
-29 -94 1
45 96 -56
-37 68 -19
-50 -14 -66
25 39 24
65 80 69
-23 -55 9
9 -10 89
-22 -14 -71
-32 -83 87
5 14 85
-26 24 -69
-29 -20 -75
14 46 95
60 3 -90
35 90 43
69 -94 35
-66 -37 48
-8 73 -55
-20 -72 40
69 89 64
-97 -65 -92
-11 79 76
-95 -24 -73
-27 73 27
-39 43 -95
-77 14 97
-30 67 37
-12 45 10
53 -30 76
80 48 -54
34 -67 89
92 39 52
-71 -12 -60
2 22 95
8 37 45
32 -32 -16
-58 -36 17
92 29 -28
47 54 -58
99 95 -78
69 -48 88
-53 73 34
45 -55 4
20 -64 45
-69 99 -8
3 24 -5
-6 -62 77
-48 -39 88
-55 54 4
-66 -45 -8
14 -97 -50
-35 -38 18
-20 93 -69
34 89 -76
-61 99 96
-89 100 26
64 84 19
70 11 81
85 -1 41
-20 95 -45
96 78 60
-60 59 88
-90 -93 -86
-65 -76 98
-8 77 -71
-62 26 -90
78 7 -71
-45 -54 5
42 12 8
7 -80 11
4 -65 -5
21 -30 7
-12 83 61
30 -52 69
-88 6 72
21 78 3
-92 -66 -43
95 20 5
52 81 -43
-28 -84 -40
-39 -6 -76
98 -33 -5
92 -3 -68
34 -95 -1
-54 38 -27
71 -62 92
-8 -59 41
-56 29 -95
-47 21 92
-44 27 -54
77 18 28
4 -5 10
53 19 5
49 -11 -24
95 13 100
-16 33 -44
53 40 -47
83 -48 29
-29 -52 -62
43 66 82
-15 64 38
-73 53 -84
87 75 35
-13 18 6
-32 -96 68
-94 8 -69
-60 26 87
64 -14 -91
3 -47 4
70 -62 -98
11 33 22
35 32 2
-90 -85 18
-66 45 68
-63 46 -65
-39 65 39
-7 -55 6
20 87 5
-91 46 -39
70 83 -48
-3 -31 50
48 96 10
-28 -27 -93
19 59 28
-6 93 -4
5 50 91
26 81 32
-21 -49 -83
30 86 62
-11 89 -79
74 -57 8
-77 -20 96
-84 100 -5
-23 -11 53
-2 32 -57
9 74 -53
-14 -11 -35
48 32 45
-72 68 63
-65 -96 29
-83 -90 13
-17 -88 42
46 66 91
39 2 43
-46 68 28
60 -72 -42
79 63 53
-89 76 -44
39 44 74
55 68 -24
-11 59 -82
26 79 70
-83 -57 -44
61 98 -44
-97 -44 -14
-86 -18 99
-5 72 45
60 -6 51
80 -22 -7
15 -89 -73
86 24 -45
64 83 -69
91 -77 -73
-7 77 81
-78 -4 8
88 2 10
57 -76 80
-20 73 9
76 -17 -63
-30 -74 30
20 -59 35
42 80 -86
76 75 -11
-23 44 3
46 16 51
62 81 70
-44 97 -43
4 74 -21
13 3 -92
33 -96 -65
-49 36 -75
-76 13 -60
50 -66 70
10 -20 83
83 -32 -39
-23 -33 78
-67 -83 -24
-93 -64 34
94 -8 100
-16 -74 -64
-28 -52 30
91 -2 -78
-70 -86 -70
15 85 18
-19 61 -94
-23 -89 -28
-2 43 -3
90 -71 -57
55 -61 -29
-17 49 -33
35 -45 -29
44 -33 43
-47 -81 -48
66 77 75
99 42 -11
-31 -64 -52
85 75 -72
88 -95 29
76 51 41
-77 -63 -98
-52 71 -56
55 91 -56
-28 4 61
30 75 13
-4 -26 -75
-67 -14 25
2 79 -83
57 72 -73
27 27 -25
54 18 -97
-92 25 91
43 69 68
30 11 -74
-73 39 -7
26 36 99
9 89 -85
99 -3 -24
66 -36 -10
41 -17 -6
5 -83 95
-16 -94 99
27 -1 83
83 7 -90
20 -60 68
19 -90 -52
60 81 -3
48 99 39
69 -9 82
-15 -55 -62
68 -82 -46
52 -13 53
74 -69 27
-33 89 80
-20 84 40
10 30 -75
81 58 -25
-28 -25 -85
-21 85 -91
-76 53 46
-35 83 13
7 22 35
-35 82 80
71 67 -90
47 12 -99
-81 -40 -71
61 35 -27
31 -3 -90
92 -48 -49
-66 57 -28
67 -81 -38
54 18 32
28 7 -46
17 62 -6
-28 -71 -85
-40 -22 92
84 24 35
43 97 -8
25 24 67
19 -11 -43
15 19 -69
28 -19 3
-37 -50 -14
-53 -86 1
18 -16 -29
80 52 -58
12 -63 91
-66 -28 -81
63 6 -47
64 -40 -93
23 -66 -10
-30 15 -43
78 -26 -94
24 70 58
3 87 -97
63 15 -38
-87 21 31
-38 -61 56
-65 -90 22
70 -7 -92
29 -56 27
67 27 -79
-10 73 27
94 34 -36
60 -81 -43
-92 91 73
-2 67 -86
90 -49 -2
-65 -100 -87
-51 89 -68
37 91 34
31 -99 20
-43 97 -84
-88 100 -1
-97 -39 4
99 40 82
-48 -59 -87
-22 -84 82
-3 70 50
84 10 86
-68 50 -11
-87 27 -64
88 47 84
97 -50 84
27 -80 34
-23 -95 95
-52 -75 85
20 -96 -73
19 64 13
-46 40 -15
97 -68 -76
97 -99 -21
71 -34 -67
-91 32 77
22 28 -86
-39 8 -38
11 46 -90
17 48 -44
76 21 6
-19 -90 67
-50 -37 23
-8 9 -75
-62 80 82
46 78 79
-56 85 -82
-17 -59 -62
-7 84 80
95 -17 9
19 20 84
62 61 71
78 -58 -42
83 -96 87
-21 -1 -90
-100 -7 2
-23 -31 -89
-17 -88 80
-41 23 81
93 70 71
97 -54 -53
-5 83 91
85 42 -1
60 12 1
-15 -43 41
-35 5 81
-28 -59 -58
-98 -82 -65
30 56 53
-78 -15 90
66 -36 69
-86 -49 46
-89 80 34
80 -43 87
-67 11 11
-36 91 -15
-7 31 89
39 -83 -56
13 -10 -8
-48 -22 7
-24 25 -4
24 -11 -74
17 -41 -66
38 92 29
-74 -43 61
54 74 -68
-25 -39 -62
-36 -91 71
-21 55 -44
15 12 77
93 -72 8
-57 -2 43
40 -18 64
-11 53 -63
6 -21 -73
-57 21 -4
-9 42 42
-71 41 -88
-87 19 58
51 13 48
-46 -69 -10
-100 63 98
-38 -67 50
-75 -8 -98
-76 41 55
37 88 -12
68 6 47
-89 -19 91
-58 -80 53
65 99 5
-8 -58 67
38 51 25
95 22 18
-32 55 79
47 -1 -37
-26 -65 96
-47 22 -57
68 67 10
33 90 -15
46 -52 98
81 69 16
-23 -12 -27
-16 -100 56
-44 46 -51
-17 94 -43
-98 -8 26
100 -74 -67
50 -67 -88
32 68 -71
-10 21 -5
37 12 85
-70 -7 -31
-60 58 -58
-87 35 59
13 46 19
97 -28 98
-7 37 -7
-12 62 -23
61 -9 -25
62 -89 -54
49 48 46
56 -7 76
-71 -21 -61
-65 -59 46
16 14 81
48 62 36
50 -95 8
7 -53 78
-89 -50 -99
-63 4 34
65 80 61
58 -27 -90
-93 1 -90
-72 -68 60
89 -53 -21
-68 76 -75
78 -52 -50
85 -64 -70
1 40 56
76 100 64
88 32 -53
-9 81 1
45 61 -27
-62 -96 -58
80 36 -69
-51 -12 99
-28 -4 -53
-40 30 51
59 22 -49
-57 53 52
8 81 13
89 -60 48
60 26 -38
97 96 -35
38 51 -60
98 20 -36
53 -17 35
6 -56 1
81 57 -43
-81 -9 -69
54 -66 -15
-58 -75 -96
27 -26 87
33 60 21
-2 -30 -38
43 -21 -26
5 72 -86
18 -98 22
32 -2 -73
27 -39 -26
74 56 12
31 41 83
78 -62 -69
-26 97 -6
-27 -99 61
21 -51 -22
69 98 -17
-56 69 49
1 -21 -49
-89 92 36
-98 -96 -55
81 96 56
41 -42 38
-51 91 59
97 -53 32
95 37 33
61 -90 -58
-100 -20 -45
-83 -86 -93
-100 46 96
-95 -98 76
-93 38 -54
12 -47 -36
-7 -90 -30
-72 -4 70
79 93 -71
77 86 70
-66 70 -84
64 29 68
66 -55 42
56 -36 -93
21 62 -81
48 -100 11
72 95 82
-47 45 -74
96 3 28
-39 91 77
16 -16 60
85 75 55
-44 80 -29
95 -11 -6
99 83 63
-90 15 -62
-77 -59 87
-71 -81 -13
-26 77 5
73 44 -4
26 41 28
2 -64 6
91 83 84
6 32 62
-46 46 54
46 21 28
62 -31 28
99 59 -87
48 98 13
-55 -61 40
-76 29 -44
29 -73 -28
-28 -52 24
6 51 -27
-61 34 44
41 6 41
5 59 36
-86 43 -97
94 86 10
55 97 -21
-46 44 35
-55 -12 -72
49 -78 23
-69 -26 -64
42 -87 -21
-33 -77 -74
-1 79 35
-51 -6 5
54 -67 91
-58 13 -35
51 52 98
-43 -86 -22
-17 90 -15
-78 -27 12
-67 -11 90
37 95 -32
79 92 -26
-53 -64 35
70 5 44
62 -30 -7
9 -8 -47
-43 -23 9
-16 11 -94
-5 -99 98
-45 -55 -82
-35 28 -17
-87 100 58
-68 -96 100
-47 -75 -32
72 72 -67
-92 64 82
-75 -16 10
52 92 86
62 -32 -79
64 -96 7
-73 85 10
1 72 -68
-48 38 -17
100 75 -46
-100 -70 5
86 63 -50
56 -4 46
-90 19 97
22 -100 100
75 -2 54
-48 -23 -93
-83 -3 75
-54 -7 -49
-36 -5 88
-50 73 -50
45 49 -77
82 64 -47
52 -89 78
-74 -38 -13
-17 93 41
3 83 -66
5 -52 74
27 -28 -16
-37 81 -35
26 79 69
-45 31 -61
77 -43 -36
-83 41 37
-17 66 -23
-27 -76 -1
8 -93 79
63 57 20
-44 -24 -16
16 14 46
-17 95 27
-2 -20 26
-71 17 -90
18 2 4
3 -47 19
27 -1 -26
-30 74 -91
-49 37 57
-59 -99 -94
38 -84 17
-90 -66 71
-77 -83 13
4 -39 -38
55 -68 -59
28 9 -89
28 -1 81
-49 38 86
-19 -10 83
-50 -96 -58
20 -7 90
-76 -39 17
-21 81 2
-81 60 -40
-83 -12 -39
20 36 -72
3 16 -95
-89 21 -21
76 61 -21
-7 -77 -82
12 -43 -33
-70 20 29
-54 78 -8
74 33 -6
62 -68 -74
2 83 26
64 -28 -64
87 61 8
70 -70 -61
-43 -62 62
-16 -8 71
60 -61 10
24 -48 -7
-47 -2 -19
66 81 21
68 92 38
74 73 -66
-33 40 17
-81 58 -63
-13 97 54
76 -52 -65
20 55 -50
39 100 53
-11 -59 53
25 -42 28
-96 -86 -76
12 -82 9
51 -46 99
-20 83 -5
15 -87 -92
96 60 -66
80 -33 38
59 29 -78
69 51 7
-72 62 -26
27 -86 -25
-8 -41 -56
-74 -49 -1
-84 27 -53
-56 -75 -40
-43 -54 -63
-84 -53 -32
32 50 -33
64 -25 -30
-31 -94 -71
26 90 -73
74 -18 -86
-4 -54 -10
10 -5 -87
-24 -69 -65
41 -65 -94
-29 -5 -39
97 -91 91
-88 27 78
74 39 -50
-92 47 -38
13 -27 -35
5 62 -4
-77 -3 -20
14 -95 75
-31 -32 -84
77 93 30
-4 -87 -84
-21 -74 -50
-34 -52 74
-71 -23 -4
81 49 -57
-92 -95 -96
-42 42 64
-74 -73 -81
71 -54 -69
-22 -49 76
92 -21 2
51 97 45
-32 19 -38
19 -62 77
-39 -3 -17
3 -86 5
39 99 36
85 -16 44
97 3 67
-76 26 -78
-70 -77 -80
26 -15 -18
20 -63 -5
-78 -24 37
33 -51 -90
8 67 -29
-71 -21 -95
-33 -50 26
-37 -22 21
-29 -27 74
-14 93 -57
-46 -65 17
62 -58 -25
-13 -32 -58
-58 -61 94
-74 53 62
-56 -5 -9
-49 -60 -89
75 -3 47
-96 61 37
5 38 -13
-98 -39 -70
82 10 -17
-94 -22 -74
53 48 -94
-52 -37 -86
-77 1 -30
-50 48 88
-32 -36 37
45 -71 -84
47 87 -96
-28 52 76
22 -50 15
-5 33 -39
-41 89 -97
-35 85 -3
13 3 -30
-28 22 73
-48 -23 -21
64 -87 -37
84 12 35
-49 -36 -13
-61 -83 5
93 66 -28
85 -18 77
26 17 73
3 15 -75
55 -45 9
-6 77 13
-54 41 -90
69 -8 -54
33 68 -91
21 81 61
10 -38 -87
-91 56 96
-25 83 -38
94 -47 38
97 -47 -69
-31 -48 27
-75 -8 8
-86 -6 -16
44 -29 63
80 -88 26
-26 24 41
43 -48 61
9 -14 -65
-92 100 9
63 -32 -77
-7 85 90
-63 -29 94
-73 -51 -89
-78 78 61
46 19 -24
79 4 63
18 53 46
80 68 -10
-92 52 -7
-5 9 85
9 -34 -78
-41 -22 45
86 43 -60
-59 91 -92
20 16 88
39 -77 -30
89 90 53
54 13 -74
-89 -71 -11
51 90 -9
89 -58 -42
65 27 62
-81 91 93
23 4 -86
-98 75 -92
-56 -22 -47
-29 86 70
-73 -40 76
-51 -36 40
-23 12 -73
-28 92 -94
-76 72 54
45 35 89
53 78 83
-35 -67 99
11 -62 61
51 -54 -17
47 -73 -44
-96 36 -84
78 -53 -31
52 28 85
62 -85 18
81 3 -69
5 15 -14
49 22 -94
-17 -95 45
-65 99 -71
-97 -14 37
74 -93 -44
36 -10 -71
32 16 32
-60 -88 88
-59 -22 -58
-48 -49 46
16 9 -6
-12 2 69
9 -31 -22
-77 -9 -84
1 -59 81
40 86 -22
-41 19 62
-6 -36 66
15 -37 49
72 67 3
-90 -62 -52
-78 69 -38
-96 46 -60
87 8 65
-29 -85 -59
84 26 50
94 5 31
-73 -47 25
21 97 89
-23 -17 89
37 -9 -41
-25 -84 -34
-86 63 -60
58 21 -5
-23 41 -25
55 76 -60
21 30 26
-11 -34 -29
35 -45 -19
-48 16 9
14 81 -66
90 -69 -88
98 85 -19
20 -25 -98
-46 55 -84
-81 -56 6
-17 88 -32
-80 -62 64
-38 95 23
81 -98 28
37 82 94
-8 35 -30
-63 49 -9
-74 60 -70
-16 -39 -69
27 -33 -83
-50 -99 -90
-21 -48 -73
-73 92 -55
-36 -29 -99
-24 85 -35
-97 -52 83
-93 -37 30
75 24 5
-12 -7 -38
-58 42 -55
-89 -78 -19
64 79 -8
-4 92 -93
-20 -83 9
-56 61 -92
68 67 -33
79 55 -47
-95 49 -7
-14 -4 15
62 -77 -76
-43 49 72
14 -23 -73
-86 81 -12
43 75 -28
-40 57 15
-41 -75 57
-60 -5 62
-94 11 28
-48 18 35
-10 -42 92
37 -86 -74
-36 -97 -78
-47 -100 -2
72 -25 -42
72 98 93
13 -45 77
-28 -46 -23
95 -6 81
65 -60 42
-14 55 25
-84 99 -44
-77 9 58
96 32 -51
55 -58 -2
-97 -92 26
94 -28 -46
100 -42 -81
-1 89 -88
68 -17 22
-17 -83 -75
78 34 -50
2 47 80
53 70 83
-44 -29 3
-12 100 -16
39 -99 41
54 80 78
62 -42 -94
-76 5 57
100 76 56
44 53 -56
46 36 80
61 -72 1
63 -29 -69
-52 37 -56
-26 -29 73
25 -55 -84
-16 -68 -100
28 12 -32
-13 78 83
43 41 -97
84 15 94
20 2 -6
56 11 72
-95 69 -50
82 12 3
7 -37 93
3 64 97
87 -39 14
-39 -91 -83
-33 41 39
64 1 -22
25 79 -53
87 67 -32
-54 82 -63
75 89 -67
79 -59 90
53 -49 93
-50 25 -67
87 -5 -67
25 66 32
65 68 60
74 33 -72
-20 -100 -23
82 15 -29
15 -98 -42
-92 19 49
21 -95 59
57 -59 26
19 -6 38
24 -44 -70
36 -38 94
-76 -74 13
25 3 91
-51 35 26
-79 50 80
71 -49 -13
58 -36 -45
71 9 -69
44 15 -80
-7 38 -78
83 -28 46
-97 -10 9
78 73 -4
-15 -54 -2
96 -85 -50
-73 1 30
-71 41 58
24 -6 -88
-86 -71 -75
-63 -32 60
44 40 -41
-6 -100 44
49 -63 -59
-28 -60 -75
-45 -80 -3
29 -61 32
-21 -62 -59
37 -1 -64
-89 85 -77
21 16 -12
-19 32 9
3 -50 19
-58 -39 -51
51 -89 7
29 -31 19
37 -85 -58
-31 -72 97
63 -62 82
-63 -79 93
34 47 -29
-17 -62 68
61 90 72
21 81 -31
-69 87 18
-82 38 -90
1 29 70
12 -58 -68
-88 -43 91
76 62 -52
-44 -77 -96
-27 -72 48
49 41 6
-24 -24 42
-59 29 78
34 -12 -6
98 39 71
100 30 44
-23 -82 39
57 -43 24
-85 35 -41
-7 99 -4
11 60 79
93 12 28
64 5 57
58 -71 90
-79 94 -50
91 83 -64
-56 92 -25
-82 89 43
-44 -17 -3
41 27 -59
32 21 -20
45 100 -40
-41 79 -53
-47 -12 -50
-21 33 -15
52 69 31
-6 -2 -90
-38 29 47
18 -82 55
18 -78 87
22 -41 37
-100 -59 2
19 -78 -28
66 -49 -100
46 50 92
31 67 -78
52 7 98
30 -25 -17
6 -71 63
88 -18 -10
46 -1 -80
-81 99 -64
-15 91 72
-10 8 -8
61 40 11
-72 -11 -27
79 -63 23
-53 -14 6
-27 -36 93
88 26 -13
-13 52 17
100 71 58
75 -2 100
77 -28 60
-15 -90 35
81 -74 -98
-23 27 40
-25 -78 -65
-75 62 83
38 -28 76
58 25 83
55 23 26
-53 -100 -29
37 41 -79
-25 -71 -27
96 -99 -59
87 -13 -16
13 -15 41
7 -48 75
-95 78 74
-78 81 96
-11 41 75
-24 80 49
-38 -99 -82
-87 -65 8
78 51 7
69 74 11
-72 66 2
-85 88 -33
-83 65 -84
94 45 37
-42 -33 51
51 -3 41
28 -55 -31
-92 83 -97
-8 14 -47
-24 -13 51
48 -4 -46
30 -41 -17
76 -90 -46
-72 -67 -69
-30 -11 65
37 -47 -57
-68 -32 64
24 92 49
30 -41 59
33 -90 -66
-67 -4 38
40 90 -59
69 -67 46
-66 98 34
-55 42 45
48 -66 88
-23 20 44
-65 -65 33
33 -58 -56
-59 72 86
-82 41 23
71 21 84
15 -82 -64
-21 77 -1
48 -41 -27
72 15 46
38 -67 84
-37 5 51
72 -19 11
-74 -78 43
18 -99 -25
-68 83 -55
3 4 71
11 -58 -43
55 100 -53
39 80 68
-59 -1 3
-84 82 82
-84 -94 59
-8 -93 35
96 -86 10
71 68 -37
-8 -54 33
-57 38 -59
14 20 -79
80 -74 48
97 -51 48
68 71 -23
76 36 -79
69 99 -46
-18 32 -40
-47 31 76
90 -77 29
-80 64 77
-70 -73 -28
90 77 -90
41 -80 40
75 31 66
-39 -42 37
-78 -86 77
54 -29 16
-99 -64 -66
18 -73 -74
37 56 26
78 -56 63
24 88 -37
-36 88 -41
27 51 -23
-25 49 85
18 9 -82
-36 -98 70
21 -5 94
10 58 62
-70 44 -28
94 21 96
26 -40 -84
-50 7 -71
-50 38 -66
33 58 37
52 42 -73
82 -47 85
-6 55 11
-71 52 94
4 30 -60
27 -60 5
-71 -86 -28
98 95 10
39 -58 40
-19 36 -95
-59 -39 -29
25 42 -70
-30 7 -56
16 -29 76
-92 18 41
-86 33 21
97 -11 55
93 27 15
37 -88 89
99 12 100
60 14 9
-61 -51 70
86 -24 -65
55 87 -33
-46 24 -58
59 -61 -28
59 -82 42
80 93 -53
34 80 53
75 54 -71
-96 83 85
-1 -56 -84
-49 71 -10
86 9 -38
-95 -72 -37
-19 -43 -71
-53 53 -9
67 63 -28
36 -27 -73
46 -1 68
-67 47 -11
-59 -19 54
31 -44 15
-4 -93 -20
30 95 13
63 75 3
22 -41 61
18 -41 50
-75 96 70
18 64 -53
-18 5 -12
85 -20 -96
30 -92 60
-39 -82 17
68 99 -54
-75 -52 33
100 -18 60
-91 -58 61
37 -99 7
-29 73 -46
24 -87 70
-65 47 79
-37 68 59
-27 -73 -45
91 -60 -92
13 93 -45
-55 -7 41
-63 11 51
50 -19 -47
-45 61 -84
-56 42 -13
-44 55 -41
27 -91 -15
-35 56 88
-3 -69 -38
-55 85 90
-21 13 -78
-38 -21 -59
18 55 -8
96 -63 -55
33 51 -62
-46 -85 -29
10 59 -75
4 41 -15
1 -45 62
29 -70 26
92 84 57
-64 35 -5
9 -3 58
70 -97 28
30 25 98
-71 -72 -27
-71 -60 -76
-78 -11 38
57 -32 -66
52 -89 -32
-81 20 -44
-33 35 32
20 24 97
-15 -65 16
-54 -60 -23
98 -80 -87
43 38 28
18 6 -7
-24 -78 49
-62 -54 85
-76 -19 2
-31 86 -10
-64 97 53
32 73 79
56 86 -39
15 27 12
-78 78 -67
-92 74 24
17 98 54
81 77 67
7 51 -43
35 -38 72
-42 -98 -16
-71 18 -55
96 -4 61
15 -1 18
100 22 53
-84 -49 87
87 73 -51
7 19 93
-17 -95 33
-35 48 -20
26 -22 18
26 -76 18
-54 70 6
55 61 100
35 -57 61
-92 41 -62
38 -19 15
41 -30 33
-59 -63 30
-53 -20 -64
75 -68 18
-23 57 55
44 -17 22
-84 18 8
-36 -33 -68
72 37 94
21 -42 94
-91 -35 52
23 -17 -47
32 -60 97
-51 -81 34
-22 -9 -68
90 72 -38
-87 6 30
21 -97 -62
99 70 12
54 -66 -5
-73 86 24
-71 -97 25
88 15 -82
22 91 -6
42 3 2
1 52 -69
-64 30 39
-97 -1 -44
48 -24 -51
-81 27 -59
25 -83 -85
53 -31 6
-35 -69 31
-36 59 -72
-15 80 29
-11 96 29
3 87 47
-9 -80 -50
60 -78 -93
61 34 -3
-88 -85 70
38 93 47
-85 -45 -84
-51 42 21
43 -44 -60
-87 93 -84
-41 -63 90
95 -63 66
42 13 -35
-95 45 -58
-14 -19 93
-71 4 -28
66 -45 -31
-82 100 -50
89 79 100
-64 -49 68
60 -32 -56
37 28 47
32 -59 28
-16 87 34
16 83 82
-36 -36 -28
97 -62 41
-84 77 52
52 -92 -70
13 -82 -48
13 -43 80
9 34 79
55 -9 76
21 -82 3
-17 25 -67
72 40 27
-32 10 -18
3 19 51
-71 17 100
13 -39 -77
80 -74 56
-87 90 80
85 -59 53
21 -54 51
-11 57 -78
-15 88 -43
9 24 36
-32 -62 -53
28 -27 75
-81 79 90
54 -80 87
-90 99 32
34 -30 83
-56 31 -19
-69 21 48
-75 -2 64
10 -81 -17
-38 -51 -86
25 42 44
-38 34 27
11 -85 87
-6 -7 38
68 90 -72
8 48 26
8 -58 50
-43 -26 -1
63 68 33
88 -54 -86
95 -59 -54
-78 72 58
-40 64 -39
-87 -18 76
81 12 10
-55 37 30
-55 4 23
-1 44 -31
18 45 -20
-3 20 89
7 8 -67
-25 4 -1
38 80 -46
29 -25 85
-66 -55 12
13 -36 -47
32 -12 -42
-21 19 22
-30 55 -90
51 -7 20
30 33 -100
48 -91 -81
-87 -48 -49
77 88 54
-65 -43 58
-80 -47 -23
29 -32 96
81 -5 -51
90 16 -73
50 14 57
46 -90 34
87 -15 -65
-9 -14 98
-86 96 75
-65 82 -75
33 -59 93
-52 93 97
14 74 78
-9 60 -71
-38 32 20
62 -90 -75
-16 86 -46
1 -66 -50
87 70 6
67 56 -38
22 -51 20
-54 83 -15
2 39 43
-88 33 -23
-91 -1 10
61 -46 -84
-85 -13 -50
-28 90 -22
-11 38 -96
-51 -39 14
-22 46 -27
93 -28 -33
-6 -45 -78
-32 -44 -67
-97 75 -9
-24 79 34
-29 45 99
94 56 97
-2 -53 46
94 -14 48
96 94 -78
-20 79 -82
-83 70 27
25 -12 -18
79 53 57
-9 28 34
-75 -6 -57
100 -100 7
8 -87 89
18 -11 -31
-80 42 -91
85 25 56
78 -6 90
49 63 57
62 12 53
91 -51 -65
-12 -26 -86
30 -85 42
-8 -63 97
51 -89 62
-68 50 21
-79 -31 100
58 -2 25
52 -78 -34
62 34 -17
-12 25 36
-38 90 53
-46 61 11
63 -45 78
72 -15 96
-68 42 -87
12 74 90
30 90 10
21 87 -26
60 36 -44
-53 -85 -10
-86 -68 61
95 -77 -33
-51 26 56
-80 38 74
99 89 -2
-5 32 7
-22 -82 75
62 91 83
-9 100 -58
-2 80 -85
-3 40 -76
-95 89 -62
69 -1 51
42 -48 39
23 -9 81
27 -57 48
26 56 86
-98 85 1
70 -90 -88
